mjd,mag,mag_err,UL,filter,detected
55433.249,20.75,0.36,False,r,1
55436.275,20.38,0.25,False,r,1
55436.319,20.34,0.28,False,r,1
55444.149,20.14,0.15,False,r,1
55444.196,20.22,0.17,False,r,1
55447.135,20.45,0.32,False,r,1
55447.136,20.12,0.26,False,g,1
55448.9,19.74,0.09,False,r,1
55448.9,19.76,0.08,False,g,1
55448.9,19.78,0.1,False,i,1
55450.9,19.78,0.08,False,g,1
55450.9,19.78,0.09,False,r,1
55450.9,19.81,0.1,False,i,1
55453.149,20.1,0.15,False,r,1
55453.193,19.9,0.14,False,r,1
55457.136,20.0,0.16,False,r,1
55457.179,20.09,0.18,False,r,1
55459.8,19.83,0.1,False,r,1
55459.8,19.96,0.11,False,g,1
55460.138,20.19,0.19,False,r,1
55460.196,20.19,0.21,False,r,1
55485.9,20.57,0.15,False,i,1
55485.9,20.82,0.16,False,r,1
55485.9,21.54,0.22,False,g,1
