mjd,mag,mag_err,UL,filter,detected
56086.286,21.2,0.36,False,r,1
56090.44,20.91,0.35,False,r,1
56092.374,21.3,0.36,False,r,1
56092.404,20.95,0.32,False,r,1
56097.373,20.92,0.35,False,r,1
56097.431,20.3,0.21,False,r,1
56099.391,20.59,0.25,False,r,1
56099.425,20.56,0.25,False,r,1
56100.314,20.54,0.21,False,r,1
56100.344,20.52,0.23,False,r,1
56102.311,20.58,0.25,False,r,1
56102.341,20.49,0.29,False,r,1
56102.37,20.4,0.24,False,r,1
56104.303,20.6,0.24,False,r,1
56104.351,20.37,0.22,False,r,1
56104.38,20.68,0.3,False,r,1
56106.301,20.3,0.21,False,r,1
56106.34,20.57,0.24,False,r,1
56106.37,20.25,0.19,False,r,1
56108.297,20.51,0.23,False,r,1
56108.326,20.47,0.25,False,r,1
56108.356,20.62,0.28,False,r,1
56112.234,20.4,0.23,False,r,1
56112.264,20.02,0.21,False,r,1
56117.344,20.17,0.19,False,r,1
56117.376,19.82,0.17,False,r,1
56119.295,20.06,0.21,False,r,1
56123.328,19.95,0.16,False,r,1
56123.357,19.86,0.17,False,r,1
56124.273,20.02,0.16,False,r,1
56124.311,19.87,0.18,False,r,1
56124.353,19.98,0.21,False,r,1
56129.307,19.76,0.14,False,r,1
56129.336,19.79,0.16,False,r,1
56129.366,19.8,0.21,False,r,1
56133.287,19.77,0.14,False,r,1
56133.317,19.86,0.17,False,r,1
56133.347,19.72,0.15,False,r,1
56136.315,20.04,0.21,False,r,1
56136.345,19.56,0.18,False,r,1
56138.341,19.45,0.08,False,i,1
56138.342,19.45,0.09,False,r,1
56148.299,19.52,0.1,False,i,1
56148.304,20.35,0.24,False,g,1
56159.274,19.71,0.1,False,i,1
56159.275,19.72,0.1,False,r,1
56159.279,20.23,0.13,False,g,1
56166.255,19.61,0.1,False,i,1
56166.257,19.9,0.11,False,r,1
56166.259,20.54,0.29,False,g,1
56166.262,19.52,0.09,False,i,1
56166.263,19.83,0.1,False,r,1
56166.266,20.25,0.12,False,g,1
56177.151,19.7,0.1,False,i,1
56177.167,19.72,0.1,False,r,1
56177.171,20.39,0.15,False,g,1
56185.171,19.77,0.13,False,i,1
56185.173,19.94,0.14,False,r,1
56186.137,20.07,0.12,False,r,1
56186.142,20.99,0.21,False,g,1
56187.138,20.18,0.12,False,r,1
56187.142,20.93,0.17,False,g,1
56198.182,20.32,0.26,False,i,1
56199.118,20.27,0.14,False,i,1
56199.12,20.67,0.2,False,r,1
56200.115,20.29,0.13,False,i,1
56200.117,20.55,0.13,False,r,1
56200.122,21.76,0.29,False,g,1
56201.116,20.74,0.18,False,r,1
56202.114,20.89,0.18,False,r,1
56202.119,21.08,0.19,False,g,1
56214.108,20.27,0.12,False,i,1
56214.11,20.58,0.17,False,r,1
56223.094,20.32,0.14,False,i,1
56223.097,20.65,0.2,False,r,1
56226.093,20.77,0.17,False,i,1
56226.095,20.97,0.2,False,r,1
56227.093,20.49,0.19,False,i,1
56227.095,21.26,0.32,False,r,1
56228.091,20.29,0.13,False,i,1
56228.093,21.0,0.21,False,r,1
56272.57,20.72,0.2,False,i,1
56283.54,21.36,0.23,False,i,1
56283.542,21.26,0.23,False,r,1
56289.541,21.4,0.27,False,i,1
56289.544,21.81,0.34,False,r,1
56297.51,21.48,0.27,False,i,1
56297.512,21.54,0.27,False,r,1
56300.487,21.29,0.32,False,r,1
