mjd,mag,mag_err,UL,filter,detected
56239.096,21.19,0.31,False,r,1
56243.141,20.56,0.2,False,g,1
56243.178,20.74,0.22,False,g,1
56245.207,20.49,0.17,False,g,1
56245.242,20.38,0.17,False,g,1
56252.227,20.17,0.19,False,r,1
56252.259,20.34,0.24,False,r,1
56254.154,20.34,0.24,False,r,1
56254.193,19.94,0.17,False,r,1
56256.155,19.84,0.17,False,r,1
56256.185,19.72,0.17,False,r,1
56256.223,19.82,0.18,False,r,1
56256.253,19.75,0.19,False,r,1
56257.142,19.58,0.15,False,r,1
56257.172,19.69,0.17,False,r,1
56265.139,19.64,0.11,False,r,1
56265.168,19.53,0.12,False,r,1
56268.093,19.59,0.11,False,r,1
56268.122,19.62,0.11,False,r,1
56271.1,19.44,0.12,False,r,1
56271.13,19.35,0.12,False,r,1
56281.8,19.08,0.11,False,g,1
56282.06,19.16,0.05,False,g,1
56282.067,19.24,0.06,False,r,1
56282.073,19.29,0.1,False,i,1
56282.082,19.49,0.11,False,i,1
56282.084,19.24,0.09,False,r,1
56282.085,19.25,0.12,False,u,1
56282.087,19.15,0.09,False,g,1
56282.088,19.4,0.11,False,i,1
56282.09,19.27,0.09,False,r,1
56282.092,19.37,0.13,False,u,1
56282.093,19.21,0.09,False,g,1
56282.095,19.39,0.11,False,i,1
56282.096,19.32,0.09,False,r,1
56282.098,19.4,0.14,False,u,1
56282.1,19.62,0.22,False,z,1
56282.101,19.12,0.09,False,g,1
56282.103,19.45,0.11,False,i,1
56282.105,19.3,0.1,False,r,1
56282.106,19.32,0.13,False,u,1
56282.108,19.24,0.19,False,z,1
56282.109,19.2,0.1,False,g,1
56283.061,19.17,0.04,False,g,1
56283.068,19.17,0.06,False,r,1
56283.074,19.31,0.06,False,i,1
56283.8,19.13,0.07,False,g,1
56283.8,19.29,0.09,False,r,1
56283.8,19.36,0.1,False,i,1
56284.18,21.06,0.62,False,UVW2,1
56284.186,19.23,0.14,False,r,1
56284.188,19.26,0.29,False,u,1
56284.191,19.14,0.19,False,u,1
56284.191,19.75,0.35,False,UVW1,1
56284.195,19.33,0.17,False,u,1
56284.195,19.65,0.32,False,UVM2,1
56284.196,19.42,0.25,False,z,1
56284.198,19.27,0.13,False,g,1
56284.614,21.53,0.34,False,UVW1,1
56284.616,20.11,0.2,False,u,1
56284.617,19.02,0.15,False,u,1
56284.618,22.37,0.36,False,UVW2,1
56284.622,21.59,0.31,False,UVM2,1
56287.061,19.21,0.09,False,g,1
56287.069,19.08,0.32,False,r,1
56287.075,19.17,0.01,False,i,1
56287.9,19.32,0.13,False,i,1
56289.061,19.25,0.05,False,g,1
56289.068,19.23,0.08,False,r,1
56289.076,19.32,0.06,False,i,1
56290.061,19.21,0.04,False,g,1
56290.068,19.15,0.08,False,r,1
56290.075,19.32,0.19,False,i,1
56290.9,19.14,0.08,False,g,1
56290.9,19.22,0.08,False,r,1
56290.9,19.32,0.08,False,i,1
56291.061,19.18,0.04,False,g,1
56291.068,19.18,0.02,False,r,1
56291.075,19.29,0.02,False,i,1
56291.8,19.2,0.06,False,g,1
56291.8,19.25,0.07,False,r,1
56291.8,19.39,0.07,False,i,1
56293.9,19.16,0.13,False,r,1
56293.9,19.25,0.07,False,g,1
56293.9,19.34,0.08,False,i,1
56295.061,19.3,0.02,False,g,1
56295.068,19.22,0.04,False,r,1
56295.075,19.26,0.1,False,i,1
56295.8,19.22,0.07,False,g,1
56295.8,19.27,0.07,False,r,1
56295.8,19.36,0.08,False,i,1
56296.8,19.23,0.08,False,g,1
56296.8,19.26,0.07,False,r,1
56296.8,19.37,0.08,False,i,1
56298.061,19.32,0.08,False,g,1
56298.068,19.25,0.07,False,r,1
56298.073,19.26,0.09,False,i,1
56300.061,19.35,0.07,False,g,1
56300.068,19.14,0.03,False,r,1
56300.074,19.19,0.06,False,i,1
56300.8,19.35,0.07,False,i,1
56300.8,19.28,0.07,False,r,1
56300.8,19.31,0.07,False,g,1
56301.124,19.38,0.1,False,i,1
56301.125,19.33,0.09,False,r,1
56301.127,19.51,0.12,False,u,1
56301.129,19.15,0.17,False,z,1
56301.13,19.38,0.09,False,g,1
56303.8,19.35,0.07,False,r,1
56303.8,19.4,0.07,False,g,1
56303.8,19.42,0.09,False,i,1
56308.061,19.63,0.05,False,g,1
56308.068,19.33,0.05,False,r,1
56308.074,19.48,0.1,False,i,1
56308.8,19.38,0.08,False,r,1
56308.8,19.44,0.08,False,i,1
56308.8,19.53,0.08,False,g,1
