mjd,mag,mag_err,UL,filter,detected
53716.1,26.4989,,True,F775W,0
53716.1,27.2099,,True,F850LP,0
53738.7,26.7209,0.857,False,F850LP,1
53738.7,27.4929,,True,F775W,0
53764.6,26.1729,0.524,False,F850LP,1
53787.2,23.1889,0.04,False,F850LP,1
53787.2,23.3789,0.025,False,F775W,1
53813.7,21.9959,0.012,False,F775W,1
53813.7,22.0769,0.016,False,F850LP,1
53829.6,21.5729,0.011,False,F850LP,1
53829.6,21.5769,0.01,False,F775W,1
53847.0,21.2339,0.009,False,F850LP,1
53847.0,21.2579,0.008,False,F775W,1
53876.8,21.0279,0.008,False,F850LP,1
53876.8,21.0609,0.009,False,F775W,1
53889.3,21.1219,0.008,False,F850LP,1
53889.3,21.2329,0.006,False,F775W,1
53914.4,21.3577,0.189,False,z,1
53914.4,21.5648,0.211,False,i,1
53970.3,23.0677,,True,z,0
53970.3,24.1418,0.368,False,i,1
