mjd,mag,mag_err,UL,Filter,System,detected,Filter_can,Cenwave
54348.382502,20.3535,0.048,False,r,AB,1,r,6141.12
54348.383331,20.6451,0.081,False,i,AB,1,i,7457.89
54348.384161,21.217,0.2,False,u,AB,1,u,3608.04
54348.38499,20.7782,0.264,False,z,AB,1,z,8922.78
54348.385819,20.5762,0.043,False,g,AB,1,g,4671.78
54358.338829,20.4345,0.048,False,r,AB,1,r,6141.12
54358.339659,20.6641,0.096,False,i,AB,1,i,7457.89
54358.340488,21.146,0.185,False,u,AB,1,u,3608.04
54358.341317,20.7862,0.307,False,z,AB,1,z,8922.78
54358.342147,20.5292,0.053,False,g,AB,1,g,4671.78
54359.333223,20.2935,0.118,False,r,AB,1,r,6141.12
54365.37225,20.4305,0.038,False,r,AB,1,r,6141.12
54365.37308,20.7721,0.075,False,i,AB,1,i,7457.89
54365.373909,21.205,0.134,False,u,AB,1,u,3608.04
54365.374738,21.0182,0.243,False,z,AB,1,z,8922.78
54365.375568,20.6622,0.034,False,g,AB,1,g,4671.78
54381.392354,20.5495,0.048,False,r,AB,1,r,6141.12
54381.393184,20.7971,0.085,False,i,AB,1,i,7457.89
54381.394013,21.389,0.188,False,u,AB,1,u,3608.04
54381.394842,20.7792,0.24,False,z,AB,1,z,8922.78
54381.395671,20.6622,0.038,False,g,AB,1,g,4671.78
54384.398797,20.5955,0.049,False,r,AB,1,r,6141.12
54384.399626,20.7931,0.085,False,i,AB,1,i,7457.89
54384.400455,21.322,0.18,False,u,AB,1,u,3608.04
54384.401284,20.6932,0.21,False,z,AB,1,z,8922.78
54384.402114,20.6822,0.037,False,g,AB,1,g,4671.78
54386.384462,20.5215,0.054,False,r,AB,1,r,6141.12
54386.385292,20.7731,0.098,False,i,AB,1,i,7457.89
54386.386121,21.205,0.16,False,u,AB,1,u,3608.04
54386.38695,20.8922,0.262,False,z,AB,1,z,8922.78
54386.387779,20.7622,0.042,False,g,AB,1,g,4671.78
54388.388964,20.6795,0.058,False,r,AB,1,r,6141.12
54388.389793,20.8971,0.099,False,i,AB,1,i,7457.89
