mjd,mag,mag_err,UL,filter,System,detected
56149.7,17.7224,0.11,False,R,Vega,1
56158.3,17.3039,0.03,False,U,Vega,1
56158.3,17.7945,0.03,False,I,Vega,1
56158.3,17.9324,0.02,False,R,Vega,1
56158.3,18.0414,0.02,False,V,Vega,1
56158.3,18.0959,0.03,False,B,Vega,1
56164.3,17.6039,0.01,False,U,Vega,1
56164.3,17.8745,0.03,False,I,Vega,1
56164.3,18.0724,0.02,False,R,Vega,1
56164.3,18.1814,0.02,False,V,Vega,1
56164.3,18.3559,0.01,False,B,Vega,1
56166.4,18.0824,0.02,False,R,Vega,1
56166.4,17.9045,0.02,False,I,Vega,1
56166.4,18.3759,0.02,False,B,Vega,1
56166.4,18.1714,0.02,False,V,Vega,1
56166.4,17.7239,0.01,False,U,Vega,1
56179.6,18.5324,0.09,False,R,Vega,1
56186.3,18.3945,0.02,False,I,Vega,1
56186.3,18.7624,0.02,False,R,Vega,1
56186.3,19.1614,0.02,False,V,Vega,1
56186.3,19.8439,0.03,False,U,Vega,1
56186.3,19.9259,0.01,False,B,Vega,1
56194.3,19.5714,0.02,False,V,Vega,1
56194.3,19.1024,0.03,False,R,Vega,1
56194.3,20.5539,0.12,False,U,Vega,1
56194.3,20.4959,0.03,False,B,Vega,1
56194.3,18.6745,0.04,False,I,Vega,1
56210.3,19.1145,0.17,False,I,Vega,1
56210.3,19.6524,0.06,False,R,Vega,1
56210.3,20.2214,0.06,False,V,Vega,1
56210.3,21.1959,0.14,False,B,Vega,1
56223.5,19.5545,0.3,False,I,Vega,1
56223.5,20.0824,0.3,False,R,Vega,1
56223.5,20.7314,0.3,False,V,Vega,1
56233.4,20.8124,0.24,False,R,Vega,1
56254.2,21.5324,0.07,False,R,Vega,1
56254.2,20.8545,0.07,False,I,Vega,1
56254.2,24.5559,0.5,False,B,Vega,1
56254.2,23.1114,0.13,False,V,Vega,1
56268.2,20.6945,0.1,False,I,Vega,1
56268.2,21.2624,0.07,False,R,Vega,1
56268.2,22.2814,0.08,False,V,Vega,1
56268.2,24.1359,0.38,False,B,Vega,1
56295.2,23.1524,0.18,False,R,Vega,1
56295.2,25.0114,,True,V,Vega,0
56295.2,25.3259,,True,B,Vega,0
