event,status,path,n_rows,n_detected,n_limits
1991D,ok,/Users/andradenebula/Documents/Research/Transient_Metrics/SLSNe_Project/SLSNe/slsne/ref_data/supernovae/1991D/1991D.txt,19,17,2
1999as,ok,/Users/andradenebula/Documents/Research/Transient_Metrics/SLSNe_Project/SLSNe/slsne/ref_data/supernovae/1999as/1999as.txt,43,43,0
1999bz,ok,/Users/andradenebula/Documents/Research/Transient_Metrics/SLSNe_Project/SLSNe/slsne/ref_data/supernovae/1999bz/1999bz.txt,1,1,0
2002gh,ok,/Users/andradenebula/Documents/Research/Transient_Metrics/SLSNe_Project/SLSNe/slsne/ref_data/supernovae/2002gh/2002gh.txt,45,45,0
2005ap,ok,/Users/andradenebula/Documents/Research/Transient_Metrics/SLSNe_Project/SLSNe/slsne/ref_data/supernovae/2005ap/2005ap.txt,50,32,18
2006oz,ok,/Users/andradenebula/Documents/Research/Transient_Metrics/SLSNe_Project/SLSNe/slsne/ref_data/supernovae/2006oz/2006oz.txt,95,70,25
2007bi,ok,/Users/andradenebula/Documents/Research/Transient_Metrics/SLSNe_Project/SLSNe/slsne/ref_data/supernovae/2007bi/2007bi.txt,138,133,5
2009cb,ok,/Users/andradenebula/Documents/Research/Transient_Metrics/SLSNe_Project/SLSNe/slsne/ref_data/supernovae/2009cb/2009cb.txt,31,31,0
2009jh,ok,/Users/andradenebula/Documents/Research/Transient_Metrics/SLSNe_Project/SLSNe/slsne/ref_data/supernovae/2009jh/2009jh.txt,22,22,0
2010gx,ok,/Users/andradenebula/Documents/Research/Transient_Metrics/SLSNe_Project/SLSNe/slsne/ref_data/supernovae/2010gx/2010gx.txt,273,260,13
2010hy,ok,/Users/andradenebula/Documents/Research/Transient_Metrics/SLSNe_Project/SLSNe/slsne/ref_data/supernovae/2010hy/2010hy.txt,45,45,0
2010kd,ok,/Users/andradenebula/Documents/Research/Transient_Metrics/SLSNe_Project/SLSNe/slsne/ref_data/supernovae/2010kd/2010kd.txt,144,144,0
2010md,ok,/Users/andradenebula/Documents/Research/Transient_Metrics/SLSNe_Project/SLSNe/slsne/ref_data/supernovae/2010md/2010md.txt,171,170,1
2011ep,ok,/Users/andradenebula/Documents/Research/Transient_Metrics/SLSNe_Project/SLSNe/slsne/ref_data/supernovae/2011ep/2011ep.txt,22,22,0
2011ke,ok,/Users/andradenebula/Documents/Research/Transient_Metrics/SLSNe_Project/SLSNe/slsne/ref_data/supernovae/2011ke/2011ke.txt,187,185,2
2011kf,ok,/Users/andradenebula/Documents/Research/Transient_Metrics/SLSNe_Project/SLSNe/slsne/ref_data/supernovae/2011kf/2011kf.txt,50,46,4
2011kg,ok,/Users/andradenebula/Documents/Research/Transient_Metrics/SLSNe_Project/SLSNe/slsne/ref_data/supernovae/2011kg/2011kg.txt,195,192,3
2011kl,ok,/Users/andradenebula/Documents/Research/Transient_Metrics/SLSNe_Project/SLSNe/slsne/ref_data/supernovae/2011kl/2011kl.txt,49,49,0
