mjd,mag,mag_err,UL,filter,detected
57359.237999,19.0154,0.103,False,r,1
57360.231,18.0364,0.043,False,r,1
57361.205,17.4044,0.03,False,r,1
57362.268,16.9994,0.036,False,r,1
57363.25,16.7364,0.022,False,r,1
57364.129999,16.0988,0.025,False,B,1
57364.143,15.8961,0.022,False,g,1
57364.205,16.6084,0.033,False,r,1
57365.143,16.3435,0.02,False,V,1
57365.152999,16.3864,0.017,False,r,1
57365.160999,16.0238,0.02,False,B,1
57365.163,15.7581,0.01,False,g,1
57365.177999,16.7484,0.033,False,i,1
57365.2,16.5294,0.039,False,r,1
57365.375,15.9518,0.02,False,B,1
57365.376999,15.9441,0.01,False,g,1
57365.382,16.8344,0.01,False,i,1
57366.544999,15.5821,0.016,False,g,1
57366.813,15.8268,0.026,False,B,1
57367.092999,16.1685,0.024,False,V,1
57367.106999,16.6494,0.022,False,i,1
57367.935,15.9278,0.044,False,B,1
57367.942999,15.5541,0.024,False,g,1
57367.947999,16.1444,0.038,False,r,1
57367.950999,16.4454,0.062,False,i,1
57369.089,15.5618,0.02,False,B,1
57369.095,16.3644,0.01,False,i,1
57370.172999,15.4271,0.013,False,g,1
57370.177999,15.9084,0.025,False,r,1
57370.182,16.3904,0.048,False,i,1
57371.120999,15.8605,0.017,False,V,1
57371.131,15.8924,0.013,False,r,1
57371.143,15.5698,0.014,False,B,1
57371.151999,15.3711,0.007,False,g,1
57371.16,16.1564,0.019,False,i,1
57371.236,15.5118,0.02,False,B,1
57371.24,15.9864,0.01,False,r,1
57371.242999,16.2644,0.01,False,i,1
57372.126999,15.6138,0.017,False,B,1
57372.132,15.8575,0.015,False,V,1
57372.135999,15.4261,0.012,False,g,1
57372.140999,15.8174,0.012,False,r,1
57372.145,16.1124,0.014,False,i,1
57372.896999,15.6218,0.035,False,B,1
57372.905999,15.4171,0.017,False,g,1
57372.91,15.7784,0.024,False,r,1
57372.913,16.1654,0.044,False,i,1
57373.106,15.9164,0.01,False,r,1
57373.108,16.2144,0.01,False,i,1
57375.103999,15.5118,0.02,False,B,1
57375.104999,15.4341,0.01,False,g,1
57375.108,15.8964,0.01,False,r,1
57375.109999,16.1444,0.01,False,i,1
57376.061999,15.6458,0.093,False,B,1
57376.066,15.6905,0.048,False,V,1
57376.069,15.2891,0.028,False,g,1
57376.074,15.6804,0.033,False,r,1
57376.077,16.0514,0.037,False,i,1
57377.126,15.4418,0.02,False,B,1
57377.128,15.4241,0.01,False,g,1
57377.132,16.0944,0.01,False,i,1
57385.544,15.6298,0.068,False,B,1
57385.552,15.3321,0.053,False,g,1
57386.253,15.7818,0.01,False,B,1
57386.254,15.6341,0.01,False,g,1
57389.140999,15.8988,0.05,False,B,1
57389.145,15.6995,0.033,False,V,1
57389.152999,15.8014,0.026,False,r,1
57394.510999,15.9598,0.076,False,B,1
57394.513999,15.7085,0.03,False,V,1
57394.518,15.7341,0.025,False,g,1
57394.521999,15.7634,0.03,False,r,1
57394.526,16.0434,0.038,False,i,1
57398.510999,16.0598,0.05,False,B,1
57398.515999,15.7395,0.027,False,V,1
57398.518,15.6781,0.031,False,g,1
57398.526999,15.9964,0.04,False,i,1
57415.148,16.3441,0.01,False,g,1
57415.157999,16.3544,0.01,False,i,1
57415.265999,16.8478,0.046,False,B,1
57415.274,16.3545,0.024,False,V,1
57415.279999,16.4221,0.024,False,g,1
57415.288,16.1434,0.016,False,r,1
57415.293,16.2034,0.02,False,i,1
57420.287,16.5731,0.019,False,g,1
57420.296999,16.4394,0.014,False,i,1
57423.305999,16.7261,0.025,False,g,1
57423.311,16.5164,0.03,False,r,1
57425.236,17.4418,0.046,False,B,1
57425.243999,16.8085,0.026,False,V,1
57425.25,17.0021,0.029,False,g,1
57425.257999,16.4564,0.019,False,r,1
57425.262999,16.5504,0.036,False,i,1
57429.180999,17.6608,0.037,False,B,1
57429.188999,16.9225,0.02,False,V,1
57429.194999,17.1881,0.019,False,g,1
57429.203,16.5584,0.012,False,r,1
57429.208999,16.5624,0.014,False,i,1
57441.194,16.7954,0.052,False,r,1
57441.200999,16.8454,0.055,False,i,1
57443.141999,18.1068,0.133,False,B,1
57443.151,17.3455,0.055,False,V,1
57443.157999,17.6991,0.08,False,g,1
57443.163999,16.9394,0.037,False,r,1
57443.171,16.8594,0.032,False,i,1
57447.172999,18.0878,0.073,False,B,1
57447.18,17.3015,0.037,False,V,1
57447.2,16.9264,0.028,False,i,1
57451.166,18.3328,0.118,False,B,1
57451.174999,17.5115,0.086,False,V,1
57458.125,18.0195,0.091,False,V,1
57458.131,18.3381,0.096,False,g,1
57458.138999,17.4884,0.03,False,r,1
57458.143999,17.4164,0.033,False,i,1
57464.143999,17.9464,0.05,False,r,1
57464.146999,17.8944,0.03,False,i,1
57466.131,18.6441,0.13,False,g,1
57466.132999,17.9864,0.04,False,r,1
57468.134,17.5864,0.17,False,r,1
57470.141999,17.6614,0.146,False,i,1
57472.175999,18.9341,0.13,False,g,1
57472.180999,18.0244,0.02,False,i,1
57476.126,18.1534,0.069,False,r,1
