mjd,mag,mag_err,UL,filter,detected
57508.32,20.61,,True,g,0
57510.27,20.89,,True,g,0
57510.3,20.8,,True,g,0
57510.33,20.91,,True,g,0
57511.26,20.78,,True,g,0
57511.29,20.72,,True,g,0
57511.32,20.53,,True,g,0
57512.26,21.05,,True,g,0
57512.29,20.82,,True,g,0
57512.32,21.09,,True,g,0
57513.25,20.96,,True,g,0
57513.28,20.96,,True,g,0
57513.31,20.72,,True,g,0
57519.26,20.43,0.13,False,g,1
57519.29,20.29,,True,g,0
57519.32,20.01,,True,g,0
57520.25,19.8,0.12,False,g,1
57520.28,19.69,0.08,False,g,1
57521.26,19.34,0.09,False,g,1
57521.29,19.25,0.09,False,g,1
57521.32,19.28,0.09,False,g,1
57525.4,19.38,0.09,False,g,1
57525.4,19.57,0.14,False,i,1
57527.29,19.6,0.14,False,u,1
57527.29,19.45,0.2,False,B,1
57527.29,19.48,,True,V,0
57527.29,21.27,0.14,False,UVM2,1
57527.29,21.8,0.19,False,UVW2,1
57527.29,20.52,0.14,False,UVW1,1
57527.33,19.6,0.09,False,r,1
57527.33,19.66,0.07,False,i,1
57527.34,19.51,0.07,False,g,1
57534.33,22.46,,True,UVW2,0
57534.33,22.48,,True,UVM2,0
57534.33,18.95,,True,V,0
57534.33,19.61,,True,B,0
57534.33,20.37,,True,u,0
57534.33,21.46,,True,UVW1,0
57535.32,20.19,0.07,False,r,1
57535.33,19.87,0.05,False,i,1
57535.33,20.43,0.09,False,g,1
57538.33,20.09,0.05,False,i,1
57538.34,20.87,0.05,False,g,1
57540.27,20.34,0.04,False,r,1
57540.28,20.29,0.06,False,i,1
57540.3,21.01,0.07,False,g,1
57541.18,20.36,0.07,False,r,1
57541.18,20.4,0.12,False,r,1
57541.19,18.96,,True,V,0
57541.19,19.86,,True,B,0
57541.19,20.68,,True,u,0
57541.19,21.78,,True,UVW1,0
57541.19,22.56,,True,UVM2,0
57541.19,22.6,,True,UVW2,0
57544.19,20.55,0.05,False,r,1
57544.2,20.46,0.05,False,i,1
57544.21,20.43,0.05,False,i,1
57544.21,21.49,0.08,False,g,1
57544.25,20.55,0.04,False,r,1
57544.26,20.37,0.03,False,r,1
57544.26,20.43,0.06,False,i,1
57545.23,20.61,0.09,False,r,1
57545.23,20.65,0.07,False,r,1
57545.24,20.48,0.11,False,i,1
57545.25,20.46,0.1,False,i,1
57545.25,21.48,0.11,False,g,1
57545.26,21.14,0.09,False,g,1
57546.29,20.64,0.05,False,r,1
57546.29,20.68,0.08,False,i,1
57546.31,21.69,0.13,False,g,1
57551.32,20.89,0.13,False,r,1
57551.33,20.84,,True,i,0
57551.35,22.09,,True,g,0
57554.24,21.09,0.15,False,r,1
57554.25,20.82,0.16,False,i,1
57554.25,21.0,0.12,False,r,1
57554.26,20.73,0.12,False,i,1
57560.24,20.83,,True,r,0
57560.25,20.55,,True,i,0
57560.26,20.29,,True,g,0
57570.22,21.73,0.2,False,r,1
57570.23,21.25,,True,i,0
57573.21,21.75,,True,i,0
57573.21,22.06,0.14,False,r,1
57577.25,21.13,,True,r,0
57580.19,21.53,,True,r,0
57580.2,20.64,,True,i,0
57580.2,21.69,,True,g,0
57581.22,21.13,,True,r,0
57581.22,21.14,,True,i,0
57581.23,21.19,,True,g,0
57584.23,20.03,,True,r,0
57584.23,20.05,,True,i,0
57584.24,21.49,,True,g,0
57584.26,20.75,,True,i,0
57587.17,21.03,,True,r,0
57587.17,21.25,,True,i,0
57587.18,21.69,,True,g,0
57587.88,23.09,,True,g,0
57587.89,23.07,0.16,False,i,1
57587.9,23.01,0.15,False,r,1
57593.21,21.73,,True,r,0
57593.22,20.95,,True,i,0
57596.21,21.14,,True,i,0
57596.21,21.43,,True,r,0
